ids,Description,Price,borough
47298635,1 bedroom flat for sale,115000.0,"('Sutton', '5E93974')"
40763275,1 bedroom flat for sale,550000.0,"('City of London', '5E61224')"
45496361,2 bedroom flat for sale,370000.0,"('Sutton', '5E93974')"
42253297,1 bedroom flat for sale,750000.0,"('City of London', '5E61224')"
94536413,2 bedroom flat for sale,350000.0,"('Sutton', '5E93974')"
14212187,3 bedroom semi-detached house for sale,615000.0,"('Sutton', '5E93974')"
50896345,1 bedroom flat for sale,750000.0,"('City of London', '5E61224')"
89416118,1 bedroom flat for sale,218000.0,"('Sutton', '5E93974')"
88487498,4 bedroom bungalow for sale,600000.0,"('Sutton', '5E93974')"
44070378,Studio flat for sale,200000.0,"('Sutton', '5E93974')"
14384705,3 bedroom semi-detached house for sale,615000.0,"('Sutton', '5E93974')"
15369073,2 bedroom flat for sale,640000.0,"('City of London', '5E61224')"
3538453,2 bedroom flat for sale,270000.0,"('Sutton', '5E93974')"
46368785,1 bedroom flat for sale,240000.0,"('Sutton', '5E93974')"
74190357,1 bedroom terraced house for sale,365000.0,"('Sutton', '5E93974')"
73014851,2 bedroom apartment for sale,1375000.0,"('City of London', '5E61224')"
54003,2 bedroom flat for sale,315000.0,"('Sutton', '5E93974')"
1147784,2 bedroom end of terrace house for sale,475000.0,"('Sutton', '5E93974')"
223529,2 bedroom apartment for sale,1650000.0,"('City of London', '5E61224')"
41081960,1 bedroom flat for sale,130000.0,"('Sutton', '5E93974')"
51598676,2 bedroom ground floor flat for sale,330000.0,"('Sutton', '5E93974')"
39753343,1 bedroom apartment for sale,260000.0,"('Sutton', '5E93974')"
33111266,3 bedroom terraced house for sale,400000.0,"('Sutton', '5E93974')"
95106821,Studio apartment for sale,570000.0,"('City of London', '5E61224')"
28849736,3 bedroom town house for sale,650000.0,"('Sutton', '5E93974')"
10702069,1 bedroom flat for sale,270000.0,"('Sutton', '5E93974')"
17893114,2 bedroom flat for sale,275000.0,"('Sutton', '5E93974')"
113033,1 bedroom flat for sale,225000.0,"('Sutton', '5E93974')"
88227717,2 bedroom flat for sale,360000.0,"('Sutton', '5E93974')"
30404046,1 bedroom flat for sale,795000.0,"('City of London', '5E61224')"
68967803,1 bedroom flat for sale,130000.0,"('Sutton', '5E93974')"
40791943,4 bedroom detached house for sale,699950.0,"('Sutton', '5E93974')"
22783989,3 bedroom flat for sale,3500000.0,"('City of London', '5E61224')"
26785633,2 bedroom flat for sale,230000.0,"('Sutton', '5E93974')"
97721812,1 bedroom retirement property for sale,135000.0,"('Sutton', '5E93974')"
5078295,2 bedroom apartment for sale,315000.0,"('Sutton', '5E93974')"
28434460,2 bedroom apartment for sale,425000.0,"('Sutton', '5E93974')"
96155428,Studio flat for sale,130000.0,"('Sutton', '5E93974')"
70712425,2 bedroom flat for sale,325000.0,"('Sutton', '5E93974')"
15674233,1 bedroom semi-detached house for sale,315000.0,"('Sutton', '5E93974')"
24109554,1 bedroom flat for sale,475000.0,"('City of London', '5E61224')"
98615538,1 bedroom apartment for sale,170000.0,"('Sutton', '5E93974')"
70287469,2 bedroom flat for sale,699950.0,"('City of London', '5E61224')"
33221374,Studio flat for sale,210000.0,"('Sutton', '5E93974')"
39464778,6 bedroom detached house for sale,1750000.0,"('Sutton', '5E93974')"
8508286,1 bedroom flat for sale,225000.0,"('Sutton', '5E93974')"
11315163,2 bedroom flat for sale,300000.0,"('Sutton', '5E93974')"
20874064,4 bedroom terraced house for sale,750000.0,"('Sutton', '5E93974')"
77890109,1 bedroom apartment for sale,260000.0,"('Sutton', '5E93974')"
95375303,5 bedroom detached house for sale,2750000.0,"('Sutton', '5E93974')"
40430632,2 bedroom flat for sale,1245000.0,"('City of London', '5E61224')"
55882461,3 bedroom detached house for sale,1000000.0,"('Sutton', '5E93974')"
55282904,5 bedroom house for sale,700000.0,"('Sutton', '5E93974')"
65709581,3 bedroom semi-detached house for sale,550000.0,"('Sutton', '5E93974')"
77141676,1 bedroom end of terrace house for sale,350000.0,"('Sutton', '5E93974')"
72046759,Garages for sale,37500.0,"('Sutton', '5E93974')"
80179192,1 bedroom flat for sale,230000.0,"('Sutton', '5E93974')"
12428975,1 bedroom ground floor flat for sale,240000.0,"('Sutton', '5E93974')"
63766144,1 bedroom terraced house for sale,290000.0,"('Sutton', '5E93974')"
28104894,1 bedroom apartment for sale,330000.0,"('Sutton', '5E93974')"
48283165,1 bedroom flat for sale,300000.0,"('Sutton', '5E93974')"
42715582,5 bedroom detached house for sale,900000.0,"('Sutton', '5E93974')"
4811167,2 bedroom apartment for sale,295000.0,"('Sutton', '5E93974')"
40027411,1 bedroom apartment for sale,750000.0,"('City of London', '5E61224')"
39095098,1 bedroom apartment for sale,270000.0,"('Sutton', '5E93974')"
33395697,1 bedroom flat for sale,130000.0,"('Sutton', '5E93974')"
56185178,5 bedroom detached house for sale,1200000.0,"('Sutton', '5E93974')"
85878717,2 bedroom flat for sale,450000.0,"('Sutton', '5E93974')"
59101244,2 bedroom apartment for sale,1395000.0,"('City of London', '5E61224')"
27851882,5 bedroom semi-detached house for sale,700000.0,"('Sutton', '5E93974')"
61500507,2 bedroom apartment for sale,310000.0,"('Sutton', '5E93974')"
20270881,1 bedroom flat for sale,240000.0,"('Sutton', '5E93974')"
6993952,1 bedroom flat for sale,220000.0,"('Sutton', '5E93974')"
6804711,1 bedroom ground floor flat for sale,260000.0,"('Sutton', '5E93974')"
82394239,3 bedroom semi-detached house for sale,375000.0,"('Sutton', '5E93974')"
5061168,2 bedroom maisonette for sale,390000.0,"('Sutton', '5E93974')"
16101707,1 bedroom flat for sale,130000.0,"('Sutton', '5E93974')"
34085845,1 bedroom flat for sale,250000.0,"('Sutton', '5E93974')"
10321689,1 bedroom apartment for sale,630000.0,
35904996,2 bedroom apartment for sale,475000.0,"('Sutton', '5E93974')"
88278558,3 bedroom flat for sale,475000.0,"('Sutton', '5E93974')"
46873179,2 bedroom apartment for sale,365000.0,"('Sutton', '5E93974')"
7339468,3 bedroom flat for sale,375000.0,"('Sutton', '5E93974')"
27932784,2 bedroom bungalow for sale,500000.0,"('Sutton', '5E93974')"
13221414,3 bedroom flat for sale,500000.0,"('Sutton', '5E93974')"
60272816,2 bedroom ground floor flat for sale,315000.0,"('Sutton', '5E93974')"
64585123,4 bedroom semi-detached house for sale,700000.0,"('Sutton', '5E93974')"
38498779,4 bedroom detached house for sale,1075000.0,"('Sutton', '5E93974')"
6728622,1 bedroom apartment for sale,265000.0,"('Sutton', '5E93974')"
