new_id,Description,Price,add_info
7521,5 bedroom semi-detached house for sale,550000.0,"Reduced on 09/02/2022 by haart, covering Hounslow"
12731,1 bedroom flat for sale,550000.0,"Added on 18/10/2021 by Homesite, Notting Hill - Sales"
10672,2 bedroom semi-detached house for sale,425000.0,"Added on 16/05/2022 by Barnard Marcus, Feltham"
4722,1 bedroom flat for sale,525000.0,"Reduced on 11/04/2022 by Chestertons Estate Agents, Chelsea"
3780,2 bedroom end of terrace house for sale,385000.0,"Added on 26/04/2022 by Forest Estate Agents, Feltham"
11603,Studio flat for sale,380000.0,"Reduced on 11/04/2022 by Barnard Marcus, West Kensington"
3363,1 bedroom apartment for sale,450000.0,"Reduced on 22/03/2022 by Winkworth, North Kensington"
8742,1 bedroom apartment for sale,350000.0,"Added on 10/06/2022 by Winkworth, North Kensington"
5278,1 bedroom flat for sale,300000.0,"Added on 02/02/2022 by Strike, London"
7747,2 bedroom apartment for sale,165000.0,Added on 01/07/2022 by FABRICA
10792,4 bedroom semi-detached house for sale,500000.0,"Added on 13/04/2022 by Balgores, Romford"
11334,3 bedroom semi-detached house for sale,500000.0,"Added on 27/06/2022 by Chalk Street Estates, Havering"
