ids,Station_Prox,bedrooms_model,bathrooms_model,compass,borough_name,propertySubType,tenure.tenureType,tenure.yearsRemainingOnLease,address.outcode,address.incode,location.latitude,location.longitude,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.minSizeFt,analyticsProperty.maxSizeFt,prices.pricePerSqFt,analyticsProperty.ownership,analyticsProperty.preOwned,analyticsProperty.priceQualifier,analyticsProperty.soldSTC,Price
123889334,0.4,3.0,1.0,NW,Brent,Apartment,SHARE_OF_FREEHOLD,,NW10,5YH,51.534231,-0.236867,20220606,False,,,,Non-shared ownership,Resale,None,False,599950.0
121947146,0.4,3.0,2.0,NW,Brent,Flat,LEASEHOLD,,NW6,7PS,51.545761,-0.216201,20220404,False,1111.0,1111.0,£540.01 per sq. ft.,Non-shared ownership,Resale,None,False,599950.0
121496636,0.5,2.0,1.0,NW,Brent,Apartment,LEASEHOLD,,NW10,5AY,51.536664,-0.235516,20220324,False,,,,Non-shared ownership,Resale,None,False,599950.0
113621030,0.3,5.0,2.0,HA,Brent,End of Terrace,FREEHOLD,,HA0,2SB,51.559046,-0.328208,20210917,False,,,,Non-shared ownership,Resale,None,True,599950.0
84906537,0.2,2.0,1.0,NW,Brent,Flat,SHARE_OF_FREEHOLD,,NW10,5DJ,51.52972,-0.221376,20220427,False,,,,Non-shared ownership,Resale,None,False,599995.0
119292710,0.1,3.0,2.0,HA,Brent,End of Terrace,FREEHOLD,,HA0,2TT,51.55672,-0.33334,20220129,False,,,,Non-shared ownership,Resale,None,False,600000.0
121005692,0.5,3.0,2.0,NW,Brent,Terraced,FREEHOLD,,NW10,9SU,51.547229,-0.247329,20220312,False,,,,Non-shared ownership,Resale,Offers in Excess of,True,600000.0
105397109,0.4,3.0,1.0,NW,Brent,Flat,LEASEHOLD,,NW10,5UP,51.534872,-0.235514,20210412,False,,,,Non-shared ownership,Resale,None,False,600000.0
120958433,0.4,2.0,2.0,NW,Brent,Flat,LEASEHOLD,,NW6,5PU,51.530449,-0.197838,20220311,False,,,,Non-shared ownership,Resale,None,False,600000.0
117852836,0.2,3.0,2.0,HA,Brent,Apartment,LEASEHOLD,,HA0,1ET,51.53799,-0.29885,20211221,False,,,,Shared ownership,New Home,None,True,600000.0
85136268,0.1,2.0,1.0,NW,Brent,Flat,SHARE_OF_FREEHOLD,,NW6,6HA,51.53359,-0.20976,20220505,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,600000.0
124092323,0.1,3.0,2.0,NW,Brent,Apartment,LEASEHOLD,,NW10,1NU,51.55278,-0.238349,20220620,False,,,,Non-shared ownership,Resale,None,False,600000.0
124137293,0.2,2.0,1.0,HA,Brent,Apartment,LEASEHOLD,,HA0,1ET,51.538248,-0.298085,20220621,False,,,,Shared ownership,New Home,None,False,600000.0
120806417,0.8,3.0,1.0,NW,Brent,Bungalow,FREEHOLD,,NW9,7PJ,51.572583,-0.253797,20220308,False,,,,Non-shared ownership,Resale,None,False,600000.0
117211595,0.2,2.0,2.0,HA,Brent,End of Terrace,FREEHOLD,,HA0,1ET,51.53799,-0.29885,20211203,False,,,,Shared ownership,New Home,None,True,600000.0
85399173,0.3,2.0,1.0,NW,Brent,Flat,LEASEHOLD,,NW6,7GZ,51.539999,-0.197632,20220601,False,,,,Non-shared ownership,Resale,Guide Price,False,600000.0
122916407,0.9,3.0,1.0,NW,Brent,Terraced,FREEHOLD,,NW9,8HB,51.572456,-0.264194,20220429,False,,,,Non-shared ownership,Resale,Offers in Region of,True,600000.0
